tool	matching_mode	total_predicted_cds	exact_reference_matched_cds	matched_reference_cds	unmatched_or_ambiguous_cds	evaluable_named_reference_loci	named_assertions	unresolved	EXACT_PRODUCT_AGREEMENT	EQUIVALENT_FUNCTION	COMPATIBLE_BUT_BROADER	COMPATIBLE_BUT_MORE_SPECIFIC	ABSTENTION	UNSUPPORTED_SPECIFICITY	GENUINE_FUNCTIONAL_DISAGREEMENT	NON_EVALUABLE_REFERENCE	EXACT_PRODUCT_AGREEMENT_percent	EQUIVALENT_FUNCTION_percent	COMPATIBLE_BUT_BROADER_percent	COMPATIBLE_BUT_MORE_SPECIFIC_percent	ABSTENTION_percent	UNSUPPORTED_SPECIFICITY_percent	GENUINE_FUNCTIONAL_DISAGREEMENT_percent	NON_EVALUABLE_REFERENCE_percent	functional_coverage	functional_coverage_numerator	functional_coverage_denominator	functional_coverage_percent	functional_coverage_ci95_low	functional_coverage_ci95_high	strict_functional_precision	strict_functional_precision_numerator	strict_functional_precision_denominator	strict_functional_precision_percent	strict_functional_precision_ci95_low	strict_functional_precision_ci95_high	strict_functional_precision_identification_low	strict_functional_precision_identification_high	expanded_compatible_precision	expanded_compatible_precision_numerator	expanded_compatible_precision_denominator	expanded_compatible_precision_percent	expanded_compatible_precision_ci95_low	expanded_compatible_precision_ci95_high	expanded_compatible_precision_identification_low	expanded_compatible_precision_identification_high	functional_recall	functional_recall_numerator	functional_recall_denominator	functional_recall_percent	functional_recall_ci95_low	functional_recall_ci95_high	functional_recall_identification_low	functional_recall_identification_high	abstention_rate	abstention_rate_numerator	abstention_rate_denominator	abstention_rate_percent	abstention_rate_ci95_low	abstention_rate_ci95_high	unsupported_specificity_rate	unsupported_specificity_rate_numerator	unsupported_specificity_rate_denominator	unsupported_specificity_rate_percent	unsupported_specificity_rate_ci95_low	unsupported_specificity_rate_ci95_high	unsupported_specificity_rate_identification_low	unsupported_specificity_rate_identification_high	genuine_disagreement_rate	genuine_disagreement_rate_numerator	genuine_disagreement_rate_denominator	genuine_disagreement_rate_percent	genuine_disagreement_rate_ci95_low	genuine_disagreement_rate_ci95_high	genuine_disagreement_rate_identification_low	genuine_disagreement_rate_identification_high	strict_functional_f1
PhageMine	exact	804	588	588	216	390	358	292	62	4	0	0	32	0	0	198	15.897435897435898	1.0256410256410255	0.0	0.0	8.205128205128204	0.0	0.0	33.673469387755105	0.9179487179487179	358	390	91.7948717948718	0.8864629009710131	0.9412813415375426	NA	66	358	NA	NA	NA	0.18435754189944134	1.0	NA	66	358	NA	NA	NA	0.18435754189944134	1.0	NA	66	390	NA	NA	NA	0.16923076923076924	0.9179487179487179	0.08205128205128205	32	390	8.205128205128204	0.05871865846245737	0.11353709902898691	NA	0	358	NA	NA	NA	0.0	0.8156424581005587	NA	0	358	NA	NA	NA	0.0	0.8156424581005587	NA
Pharokka	exact	804	588	588	216	390	341	38	303	0	0	0	49	0	0	198	77.6923076923077	0.0	0.0	0.0	12.564102564102564	0.0	0.0	33.673469387755105	0.8743589743589744	341	390	87.43589743589743	0.8377705988622003	0.9036444895196963	NA	303	341	NA	NA	NA	0.8885630498533724	1.0	NA	303	341	NA	NA	NA	0.8885630498533724	1.0	NA	303	390	NA	NA	NA	0.7769230769230769	0.8743589743589744	0.12564102564102564	49	390	12.564102564102564	0.0963555104803037	0.1622294011377997	NA	0	341	NA	NA	NA	0.0	0.11143695014662756	NA	0	341	NA	NA	NA	0.0	0.11143695014662756	NA
PhageMine	relaxed	804	588	652	152	435	392	318	70	4	0	0	43	0	0	217	16.091954022988507	0.9195402298850575	0.0	0.0	9.885057471264368	0.0	0.0	33.282208588957054	0.9011494252873563	392	435	90.11494252873563	0.8694936876066006	0.9257821300836273	NA	74	392	NA	NA	NA	0.18877551020408162	1.0	NA	74	392	NA	NA	NA	0.18877551020408162	1.0	NA	74	435	NA	NA	NA	0.17011494252873563	0.9011494252873563	0.09885057471264368	43	435	9.885057471264368	0.07421786991637273	0.13050631239339938	NA	0	392	NA	NA	NA	0.0	0.8112244897959183	NA	0	392	NA	NA	NA	0.0	0.8112244897959183	NA
Pharokka	relaxed	804	588	652	152	435	375	41	334	0	0	0	60	0	0	217	76.7816091954023	0.0	0.0	0.0	13.793103448275861	0.0	0.0	33.282208588957054	0.8620689655172413	375	435	86.20689655172413	0.8264818687996719	0.89131722166572	NA	334	375	NA	NA	NA	0.8906666666666667	1.0	NA	334	375	NA	NA	NA	0.8906666666666667	1.0	NA	334	435	NA	NA	NA	0.767816091954023	0.8620689655172413	0.13793103448275862	60	435	13.793103448275861	0.1086827783342799	0.1735181312003281	NA	0	375	NA	NA	NA	0.0	0.10933333333333334	NA	0	375	NA	NA	NA	0.0	0.10933333333333334	NA
